Loyalty_Number,Customer_Name,Loyalty_Tier,Loyalty_Discount
1000012,"trimmill, leeanne",Bronz,
1000026,"kobierski, teador",,
1000028,"plues, jenelle",Bronz,
1000032,"firmager, gabriell",Bronz,
1000038,"chiles, nicolea",,
1000042,"digginson, cristin",,
1000043,"steane, danita",,
1000048,"christopherson, sergio",Bronz,
1000055,"di bernardo, babs",,
1000056,"gealy, fields",,
1000062,"siene, horatia",,
1000072,"monketon, clarine",Bronz,
1000084,"nuschke, donny",Bronz,
1000086,"greiser, lissy",,
1000088,"roderham, lorrin",,
1000091,"hanscombe, kenneth",,
1000094,"klishin, nikolaos",,
1000102,"traylen, tait",,
1000112,"ellwell, ferdy",,
1000113,"zannetti, worthy",,
1000115,"brownett, allx",,
1000117,"probart, erik",,
1000119,"webber, sheridan",Bronz,
1000124,"dadge, rennie",,
1000126,"canet, margarita",,
1000127,"tregale, milicent",,
1000132,"ovize, sibel",,
1000136,"porcher, vito",,
1000140,"midford, cass",,
1000145,"lockart, emmi",,
1000147,"colqueran, donnell",,
1000150,"gommery, ramsey",,
1000153,"kauscher, judie",,
1000154,"coxwell, creight",,
1000160,"buck, gherardo",,
1000165,"akeherst, alphonso",,
1000174,"didsbury, dyana",,
1000187,"sutton, marcelle",,
1000192,"macgall, alyce",,
1000209,"benedek, dora",Bronz,
1000219,"ransley, stanislaw",,
1000221,"mcgloin, anna",Bronz,
1000222,"hollington, parry",,
1000241,"hurrell, clary",,
1000243,"duchan, teodoro",,
1000259,"steinor, phillie",,
1000260,"bysshe, mac",Bronz,
1000261,"penhall, ariella",,
1000262,"benit, carolyne",,
1000263,"harrigan, amabelle",,
1000281,"mackintosh, frayda",,
1000285,"verbrugghen, karleen",,
1000301,"bing, mahala",,
1000308,"durrell, ambrose",,
1000310,"bauduin, annelise",,
1000315,"hatherleigh, selie",,
1000317,"hagard, krissy",Bronz,
1000323,"oehm, francoise",,
1000327,"barrus, vyky",Bronz,
1000329,"habbal, merola",,
1000330,"mccuaig, marleah",,
1000331,"gregoraci, nina",,
1000341,"hammant, mirna",,
1000342,"de vere, davis",,
1000343,"jachtym, benn",Bronz,
1000344,"pineaux, petrina",,
1000350,"vivers, meier",,
1000352,"doman, corbin",,
1000361,"jiroutek, sena",Bronz,
1000364,"grute, roderick",,
1000374,"pirie, babita",Bronz,
1000377,"lerer, consuelo",,
1000389,"crippin, lefty",,
1000390,"rolley, truda",,
1000394,"barnfather, katheryn",,
1000395,"jardein, leesa",,
1000402,"strooband, peadar",,
1000418,"darnody, rhodia",,
1000425,"sanpher, larry",Bronz,
1000436,"tapin, elia",,
1000437,"dow, zoe",,
1000438,"meeke, standford",,
1000443,"papes, barn",,
1000453,"hairsnape, gus",,
1000457,"grinaway, cordy",,
1000464,"stalf, mariele",,
1000468,"quested, chane",Bronz,
1000472,"colbert, lorianna",Bronz,
1000490,"petchey, tabitha",,
1000493,"cundy, willow",,
1000494,"moyles, gayleen",,
1000497,"tiffany, marylee",,
1000504,"bliven, sydel",,
1000506,"mayers, terrill",,
1000509,"uglow, pansie",,
1000510,"mousley, octavius",,
1000515,"rolfo, gael",,
1000516,"bestwerthick, inga",,
1000521,"mccloughlin, maire",Bronz,
1000522,"brikner, misty",,
1000537,"comelli, mose",,
1000540,"cleator, morgan",,
1000541,"scola, hermon",,
1000553,"cohan, cherie",,
1000555,"domenget, eliza",,
1000560,"tills, katheryn",,
1000561,"capun, hercule",,
1000569,"meggison, marty",,
1000574,"jindra, hayden",Bronz,
1000575,"brandli, michelina",,
1000586,"grisenthwaite, mychal",Bronz,
1000588,"krystek, mathilde",,
1000602,"bool, trev",,
1000614,"giorgione, bobby",,
1000618,"stenhouse, izabel",,
1000621,"van der weedenburg, nat",,
1000624,"willoughley, renelle",,
1000632,"hackley, gunter",,
1000633,"fawthrop, abra",,
1000634,"kydde, gris",Bronz,
1000636,"dowda, ramonda",,
1000637,"ible, debbi",,
1000641,"di rocca, brant",,
1000644,"cadreman, sherm",,
1000657,"windley, kelli",,
1000662,"ashall, bird",,
1000664,"loxton, ingrid",,
1000665,"dalbey, delmar",Bronz,
1000666,"lowne, cully",,
1000683,"harsant, marketa",Bronz,
1000688,"janiszewski, vivie",,
1000690,"meffin, anatole",,
1000696,"pebworth, mavra",,
1000715,"rouf, preston",,
1000719,"vowles, shena",,
1000724,"ackers, rufus",,
1000726,"bishop, chaunce",,
1000727,"shervil, marie",,
1000732,"siss, munmro",,
1000733,"trymme, beryle",,
1000734,"jorgensen, bonnee",,
1000736,"wittman, maxim",,
